[14:51:57.355855 ERROR] [openstudio.model.YearDescription] 'UseWeatherFile' is selected in YearDescription, but there are no weather file set for the model.
[14:51:57.548497 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Sales B  - Story ground Wall 1', and 'SuperMarket Sales B end_a - Story ground Wall 4'
[14:51:57.548905 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor B  - Story ground Wall 4', and 'SuperMarket Elec/MechRoom B  - Story ground Wall 1'
[14:51:57.549300 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor C  - Story ground Wall 1', and 'SuperMarket Meeting C  - Story ground Wall 4'
[14:51:57.549698 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli C  - Story ground Wall 4', and 'SuperMarket DryStorage C  - Story ground Wall 1'
[14:51:57.550086 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli C  - Story ground Wall 1', and 'SuperMarket Bakery C  - Story ground Wall 4'
[14:51:57.550484 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Elec/MechRoom C  - Story ground Wall 3', and 'SuperMarket Elec/MechRoom B  - Story ground Wall 2'
[14:51:57.550873 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage B  - Story ground Wall 2', and 'SuperMarket DryStorage C  - Story ground Wall 3'
[14:51:57.551263 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Elec/MechRoom C  - Story ground Wall 1', and 'SuperMarket Corridor C  - Story ground Wall 4'
[14:51:57.551662 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage B  - Story ground Wall 1', and 'SuperMarket Deli B  - Story ground Wall 4'
[14:51:57.552047 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage C  - Story ground Wall 4', and 'SuperMarket Produce C  - Story ground Wall 1'
[14:51:57.552462 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce A  - Story ground Wall 1', and 'SuperMarket DryStorage A  - Story ground Wall 4'
[14:51:57.553132 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce A  - Story ground Wall 2', and 'SuperMarket Produce B  - Story ground Wall 3'
[14:51:57.553876 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce B end_b - Story ground Wall 1', and 'SuperMarket Produce B  - Story ground Wall 4'
[14:51:57.554478 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office A  - Story ground Wall 4', and 'SuperMarket Vestibule A  - Story ground Wall 1'
[14:51:57.554976 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce C end_b - Story ground Wall 1', and 'SuperMarket Produce C  - Story ground Wall 4'
[14:51:57.555556 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom A  - Story ground Wall 4', and 'SuperMarket Bakery A  - Story ground Wall 1'
[14:51:57.556094 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce B end_b - Story ground Wall 2', and 'SuperMarket Produce C end_b - Story ground Wall 4'
[14:51:57.556611 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Elec/MechRoom A  - Story ground Wall 2', and 'SuperMarket Elec/MechRoom B  - Story ground Wall 3'
[14:51:57.557098 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery A  - Story ground Wall 4', and 'SuperMarket Deli A  - Story ground Wall 1'
[14:51:57.557639 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom B  - Story ground Wall 4', and 'SuperMarket Bakery B  - Story ground Wall 1'
[14:51:57.558276 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce B  - Story ground Wall 1', and 'SuperMarket DryStorage B  - Story ground Wall 4'
[14:51:57.558782 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom B  - Story ground Wall 1', and 'SuperMarket Elec/MechRoom B  - Story ground Wall 4'
[14:51:57.559288 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Office B  - Story ground Wall 1', and 'SuperMarket Sales B  - Story ground Wall 4'
[14:51:57.559757 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage B  - Story ground Wall 3', and 'SuperMarket DryStorage A  - Story ground Wall 2'
[14:51:57.560166 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce A end_b - Story ground Wall 1', and 'SuperMarket Produce A  - Story ground Wall 4'
[14:51:57.560586 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Vestibule B  - Story ground Wall 1', and 'SuperMarket Office B  - Story ground Wall 4'
[14:51:57.561292 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce C  - Story ground Wall 3', and 'SuperMarket Produce B  - Story ground Wall 2'
[14:51:57.562132 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket DryStorage A  - Story ground Wall 1', and 'SuperMarket Deli A  - Story ground Wall 4'
[14:51:57.563057 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Produce B end_b - Story ground Wall 3', and 'SuperMarket Produce A end_b - Story ground Wall 2'
[14:51:57.563849 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli B  - Story ground Wall 3', and 'SuperMarket Deli A  - Story ground Wall 2'
[14:51:57.564391 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Deli B  - Story ground Wall 2', and 'SuperMarket Deli C  - Story ground Wall 3'
[14:51:57.564863 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom B  - Story ground Wall 3', and 'SuperMarket Restroom A  - Story ground Wall 2'
[14:51:57.565271 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery C  - Story ground Wall 3', and 'SuperMarket Bakery B  - Story ground Wall 2'
[14:51:57.565683 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom C  - Story ground Wall 1', and 'SuperMarket Elec/MechRoom C  - Story ground Wall 4'
[14:51:57.566079 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery B  - Story ground Wall 3', and 'SuperMarket Bakery A  - Story ground Wall 2'
[14:51:57.566477 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Corridor B  - Story ground Wall 2', and 'SuperMarket Corridor C  - Story ground Wall 3'
[14:51:57.566885 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Bakery C  - Story ground Wall 1', and 'SuperMarket Restroom C  - Story ground Wall 4'
[14:51:57.567284 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom C  - Story ground Wall 3', and 'SuperMarket Restroom B  - Story ground Wall 2'
[14:51:57.567750 ERROR] [openstudio.energyplus.ForwardTranslator] No construction for either surface 'SuperMarket Restroom A  - Story ground Wall 1', and 'SuperMarket Elec/MechRoom A  - Story ground Wall 4'
